Report Number,Report DateTime,Offense Parent Group,Offense,Offense Code,MCPP,Longitude,Latitude,Year,Month,Day,Hour,Minute,Location,Zipcode
2020-928820,12/29/2020 07:42:53 AM,LARCENY-THEFT,Theft From Motor Vehicle,23F,CAPITOL HILL,-122.317562626,47.61876373,2020.0,12.0,27.0,12.0,15.0,"Lorington Co-Op Apartments, 1107, East Denny Way, Capitol Hill, Seattle, King County, Washington, 98122, United States",98122
2020-928815,12/29/2020 07:32:22 AM,LARCENY-THEFT,Theft From Motor Vehicle,23F,NORTHGATE,-122.327654341,47.72981228,2020.0,12.0,26.0,23.0,30.0,"13906, 2nd Avenue Northeast, Haller Lake, Seattle, King County, Washington, 98125, United States",98125
2020-928807,12/29/2020 07:12:36 AM,LARCENY-THEFT,Theft From Motor Vehicle,23F,LAKECITY,-122.312430213,47.70761395,2020.0,12.0,27.0,3.0,27.0,"10725, 15th Avenue Northeast, Victory Heights, Seattle, King County, Washington, 98125, United States",98125
2020-928806,12/29/2020 07:12:20 AM,LARCENY-THEFT,All Other Larceny,23H,PHINNEY RIDGE,-122.352152406,47.67174152,2020.0,12.0,27.0,3.0,51.0,"Woodland Park Zoo, 601, North 59th Street, Phinney Ridge, Seattle, King County, Washington, 98103, United States",98103
2020-355365,12/28/2020 11:46:07 PM,LARCENY-THEFT,Theft From Motor Vehicle,23F,FIRST HILL,-122.319406734,47.60289604,2020.0,12.0,28.0,18.0,10.0,"151, 10th Avenue, Little Saigon, Yesler Terrace, Seattle, King County, Washington, 98122, United States",98122
2020-355259,12/28/2020 11:15:17 PM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,UNIVERSITY,-122.31416887,47.66749967,2020.0,12.0,28.0,16.0,14.0,"5234, Brooklyn Avenue Northeast, University District, Seattle, King County, Washington, 98105, United States",98105
2020-354995,12/28/2020 02:03:22 PM,LARCENY-THEFT,Shoplifting,23C,ROOSEVELT/RAVENNA,-122.344486328,47.68366976,2020.0,12.0,28.0,8.0,50.0,"Aurora Ave N & N 76th St, Aurora Avenue North, Greenwood, Seattle, King County, Washington, 98103, United States",98103
2020-928799,12/28/2020 01:52:35 PM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,UNIVERSITY,-122.304127081,47.66399256,2020.0,12.0,26.0,20.0,0.0,"4724, 22nd Avenue Northeast, University District, Seattle, King County, Washington, 98105, United States",98105
2020-928798,12/28/2020 01:52:26 PM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,CAPITOL HILL,-122.320933335,47.62369897,2020.0,12.0,25.0,19.0,0.0,"530, Broadway East, Capitol Hill, Seattle, King County, Washington, 98102, United States",98102
2020-928797,12/28/2020 01:52:16 PM,LARCENY-THEFT,Theft From Motor Vehicle,23F,BELLTOWN,-122.341752608,47.61173309,2020.0,12.0,26.0,14.0,0.0,"212, Virginia Street, Pike Place Market Area, Belltown, Seattle, King County, Washington, 98101, United States",98101
2020-928794,12/28/2020 01:32:59 PM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,QUEEN ANNE,-122.356733895,47.62152468,2020.0,12.0,26.0,12.0,30.0,"Athena, Queen Anne Avenue North, Uptown, Belltown, Seattle, King County, Washington, 98121, United States",98121
2020-928793,12/28/2020 01:32:51 PM,LARCENY-THEFT,Theft From Motor Vehicle,23F,ROOSEVELT/RAVENNA,-122.322275774,47.67951776,2020.0,12.0,25.0,22.0,0.0,"Green Lake Plaza, 505, Northeast 70th Street, Green Lake, Seattle, King County, Washington, 98115, United States",98115
2020-928792,12/28/2020 01:32:36 PM,LARCENY-THEFT,All Other Larceny,23H,FIRST HILL,-122.323315199,47.60566146,2020.0,12.0,26.0,16.0,40.0,"Terry Avenue, First Hill, Seattle, King County, Washington, 98104, United States",98104
2020-928783,12/28/2020 01:12:38 PM,LARCENY-THEFT,All Other Larceny,23H,ROOSEVELT/RAVENNA,-122.308713235,47.67527654,2020.0,12.0,25.0,18.0,9.0,"6312, 18th Avenue Northeast, Green Lake, Seattle, King County, Washington, 98115, United States",98115
2020-928778,12/28/2020 11:22:33 AM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,WALLINGFORD,-122.342199291,47.66031581,2020.0,12.0,25.0,17.0,0.0,"University House Wallingford, 4400, Stone Way North, Wallingford, Seattle, King County, Washington, 98103, United States",98103
2020-355004,12/28/2020 11:17:24 AM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,HIGHLAND PARK,-122.348172088,47.5340625,2020.0,12.0,28.0,10.0,23.0,"918, Southwest Holden Street, Highland Park, Seattle, King County, Washington, 98106, United States",98106
2020-354890,12/28/2020 11:06:47 AM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,CHINATOWN/INTERNATIONAL DISTRICT,-122.321268866,47.60085706,2020.0,12.0,23.0,15.0,30.0,"RAVE Soccer Spot, South Washington Street, Little Saigon, Yesler Terrace, Seattle, King County, Washington, 98104, United States",98104
2020-354966,12/28/2020 10:15:31 AM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,EASTLAKE - WEST,-122.325038967,47.63385899,2020.0,12.0,28.0,9.0,37.0,"219, East Garfield Street, Eastlake, Capitol Hill, Seattle, King County, Washington, 98102, United States",98102
2020-928768,12/28/2020 10:02:33 AM,LARCENY-THEFT,All Other Larceny,23H,NORTHGATE,-122.324615158,47.7086028,2020.0,12.0,26.0,11.0,40.0,"Dick's Sporting Goods, 328, Northeast Northgate Way, Northgate, Seattle, King County, Washington, 98125, United States",98125
2020-354230,12/27/2020 08:51:09 AM,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,QUEEN ANNE,-122.340164663,47.62792521,2020.0,12.0,27.0,0.0,0.0,"Project Management Academy Seattle, 925, Westlake Avenue North, Westlake, Seattle, King County, Washington, 98109, United States",98109
2020-354230,12/27/2020 08:51:09 AM,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,QUEEN ANNE,-122.340164663,47.62792521,2020.0,12.0,26.0,23.0,0.0,"Project Management Academy Seattle, 925, Westlake Avenue North, Westlake, Seattle, King County, Washington, 98109, United States",98109
